revenue,profit,balance,transactions,loan_amount,default
201705,-380,391498,263,281248,1
457496,80873,280327,202,262350,0
942042,197038,335819,265,164118,0
256394,-46825,89491,221,259788,1
966194,33835,472177,278,121873,0
138087,48276,167187,278,203224,1
813072,-14638,289852,80,188451,1
303469,175292,369206,23,220925,0
284388,-32177,191607,142,121042,1
755289,-40973,311774,76,191006,1
111464,4103,404354,126,102385,1
845547,100518,322778,300,229233,0
989220,188177,56317,196,82460,0
839854,-45674,467020,277,125558,1
448502,80057,470104,124,221978,0
144683,98044,84795,192,275973,1
101987,82815,94602,152,56436,1
737403,8765,136672,266,168579,0
305871,103551,363711,191,217628,0
248820,53524,466886,111,209119,0
714518,106049,480991,214,277434,0
944958,100710,461877,102,169028,0
417536,158956,36353,262,136994,0
888355,-5238,413865,164,124569,1
186163,-23320,57868,177,65138,1
392341,-37789,301718,116,127362,1
402998,99995,335274,192,132313,0
842848,186172,477537,213,131766,0
144895,-2228,26682,30,120226,1
282000,95735,357471,61,240130,0
138130,162088,443028,271,283774,1
548697,152501,448242,217,291124,0
820071,27876,301963,132,182879,0
455641,48626,108232,28,202821,0
163962,8186,451413,192,233887,1
928444,167269,423010,297,87036,0
276778,197567,202809,109,125567,0
672786,121376,158292,193,152764,0
439905,68240,239920,62,82226,0
665463,152456,213496,169,66709,0
884088,177085,306236,65,230360,0
911816,194171,350861,69,102763,0
247512,195288,262887,200,108805,0
899117,4662,39319,298,170919,0
473330,106034,365991,225,129347,0
635312,146805,278132,93,99022,0
974487,34438,104020,93,197812,0
295752,140986,140842,108,268873,0
189356,194423,468371,156,284661,1
673664,47758,156568,195,184167,0
972394,30034,205229,145,297396,0
241003,111781,358056,172,87842,0
650817,192173,185647,45,142862,0
150027,115114,127257,136,78693,1
457431,113407,113691,134,72339,0
499587,-41587,252562,244,117931,1
448252,177024,186268,96,297124,0
111769,161058,46976,45,113894,1
622703,103806,318012,33,204376,0
457569,76743,416849,59,283035,0
147829,190479,121141,191,162863,1
816657,197754,447769,91,174167,0
678318,64841,294425,288,293867,0
296703,49496,165782,21,291582,0
575623,-6188,395054,46,73828,1
439871,64465,34729,137,50984,0
147169,109896,429889,77,189767,1
507129,123819,61907,32,278855,0
197485,35325,472848,39,245631,1
466981,79931,372950,141,231094,0
946574,197803,177555,77,97744,0
797763,-14917,499725,275,52032,1
169708,35760,135223,205,105507,1
938281,72007,452870,271,238349,0
626329,-44314,180740,286,132369,1
321877,41080,56919,202,145560,0
767586,123790,368555,70,70796,0
172557,43516,425330,203,251383,1
382672,-11698,331636,99,230262,1
411914,91808,84048,83,142993,0
377949,2671,351603,43,181088,0
291233,137239,387829,265,129767,0
102925,-21061,274562,234,93245,1
660677,-9118,267728,138,289429,1
837994,-38650,120857,36,250231,1
436381,40099,142832,115,81754,0
359038,117527,87119,179,53473,0
538599,125974,179302,192,150364,0
479981,-9719,295120,34,136524,1
676547,71970,381513,143,204924,0
924453,88410,450536,30,184161,0
646181,53517,312971,30,76503,0
470408,38294,377611,218,231926,0
881615,112093,481744,136,204893,0
979845,-36709,168300,193,60628,1
652724,160678,161971,39,282015,0
799773,89211,70869,207,171095,0
242443,42449,436931,100,138093,0
576989,127421,51866,87,91455,0
654228,8321,463974,199,99932,0
768482,104847,420093,144,135535,0
314093,-34528,145225,138,175570,1
635615,5539,318740,143,178924,0
611879,23404,291579,247,241194,0
701771,66848,474572,217,114347,0
278315,83227,349031,202,118579,0
413823,181884,426987,166,88028,0
828181,-29562,238115,229,238445,1
689073,21851,377468,221,84694,0
289675,108077,218342,87,282237,0
816060,6825,119429,177,163288,0
948371,100810,197804,54,82668,0
107859,50192,236936,238,175177,1
378174,163442,84878,51,298732,0
742324,177195,81693,211,118726,0
218849,131273,475422,74,230221,0
715707,-21030,469218,300,107349,1
616154,58290,381554,147,182146,0
775247,170414,38902,81,198117,0
788929,86735,344647,187,145382,0
536980,8033,316234,74,140056,0
810046,53747,271000,67,182598,0
513940,76656,149210,198,126147,0
591919,164143,393090,130,290798,0
381680,128244,220169,95,265636,0
561167,-33335,102626,109,82949,1
903592,166146,339301,177,142400,0
818117,37204,137816,129,266520,0
790306,134981,324576,171,188997,0
927649,149266,292637,273,291550,0
164643,77750,430516,220,293434,1
876422,19274,253491,80,188222,0
446643,106626,425111,99,97465,0
759810,66350,30854,140,96886,0
965607,151531,229611,214,228944,0
813953,145100,267835,52,163074,0
450930,199917,56074,181,119147,0
128822,77888,255634,144,181526,1
394510,-32175,404526,164,75478,1
542925,61938,464166,136,248726,0
986368,3760,352523,60,125210,0
513268,71705,163324,123,229840,0
433545,27969,461702,34,254587,0
917517,160225,377978,132,165411,0
