revenue,profit,balance,transactions,loan_amount,credit_utilization,profit_ratio,transaction_ratio,risk_score,default
201705,-380,391498,263,281248,1.3943462266863653,-0.0018839300764478995,0.0013038779213310461,2,1
457496,80873,280327,202,262350,0.5734463832549722,0.1767727438649871,0.00044153294994284115,1,0
942042,197038,335819,265,164118,0.1742149774479509,0.20916030372286615,0.0002813035073770518,0,0
256394,-46825,89491,221,259788,1.0132334873924997,-0.18262836638780008,0.000861951286101523,2,1
966194,33835,472177,278,121873,0.12613706342922495,0.03501881090256108,0.000287726597632983,0,0
138087,48276,167187,278,203224,1.471699206303227,0.3496031516134639,0.002013208968194195,1,1
813072,-14638,289852,80,188451,0.23177623657408375,-0.018003303516412425,9.839214929040812e-05,1,1
303469,175292,369206,23,220925,0.7279961775463802,0.5776254654496326,7.579002866840214e-05,2,0
284388,-32177,191607,142,121042,0.42562124414094776,-0.11314431992798596,0.0004993160776260685,1,1
755289,-40973,311774,76,191006,0.2528909425518675,-0.054248037177772775,0.00010062360153053793,1,1
111464,4103,404354,126,102385,0.9185394518458709,0.03680976091149688,0.0011303996770286636,1,1
845547,100518,322778,300,229233,0.27110583905348956,0.11887911744809283,0.00035479949098099695,0,0
989220,188177,56317,196,82460,0.08335852150328389,0.19022746181085926,0.00019813570476162555,0,0
839854,-45674,467020,277,125558,0.14949961600514375,-0.05438319709949932,0.0003298188377755684,1,1
448502,80057,470104,124,221978,0.49493091462041505,0.17849824861818092,0.0002764752967092751,0,0
144683,98044,84795,192,275973,1.9074189267645352,0.6776423101379558,0.0013270299411130464,1,1
101987,82815,94602,152,56436,0.5533592187316155,0.8120072949758795,0.0014903714162450485,1,1
737403,8765,136672,266,168579,0.2286114531518679,0.011886292995427202,0.0003607249214813047,0,0
305871,103551,363711,191,217628,0.7115002353925826,0.3385435737824973,0.0006244442119579432,1,0
248820,53524,466886,111,209119,0.8404395127420917,0.21511046093376363,0.00044610382564172637,1,0
714518,106049,480991,214,277434,0.3882807874948042,0.1484201259868527,0.000299502182587167,0,0
944958,100710,461877,102,169028,0.17887336910913595,0.10657605250598175,0.00010794119109929637,0,0
417536,158956,36353,262,136994,0.3281002641682055,0.380699195520397,0.0006274893003494301,0,0
888355,-5238,413865,164,124569,0.14022418940154624,-0.005896284822751239,0.00018461067409912242,1,1
186163,-23320,57868,177,65138,0.3498957908081047,-0.12526589458756796,0.0009507745858490363,1,1
392341,-37789,301718,116,127362,0.3246198469702454,-0.0963164789902687,0.00029566041871632404,1,1
402998,99995,335274,192,132313,0.32832091394767726,0.24812716656865152,0.0004764279812108715,0,0
842848,186172,477537,213,131766,0.1563340527188144,0.22088416786399462,0.0002527143058839721,0,0
144895,-2228,26682,30,120226,0.8297399514134276,-0.01537654593639576,0.00020704505300353358,3,1
282000,95735,357471,61,240130,0.8515218031141734,0.3394846117566959,0.00021631128967627774,1,0
138130,162088,443028,271,283774,2.054383158016665,1.1734368099847245,0.0019619057271720326,1,1
548697,152501,448242,217,291124,0.5305723731451545,0.2779324874521139,0.0003954816675110899,1,0
820071,27876,301963,132,182879,0.22300358992868918,0.0339921372757514,0.00016096147655327825,0,0
455641,48626,108232,28,202821,0.44513236268825085,0.10671974927684454,6.145175378915903e-05,1,0
163962,8186,451413,192,233887,1.4264620676616067,0.04992589791599324,0.001170995895415429,1,1
928444,167269,423010,297,87036,0.09374384050751526,0.18016037568191978,0.0003198897080602513,0,0
276778,197567,202809,109,125567,0.45367242456978313,0.7138077672077723,0.0003938160048269558,0,0
672786,121376,158292,193,152764,0.22706146224585197,0.18040776649964996,0.0002868664228054347,0,0
439905,68240,239920,62,82226,0.18691720503925838,0.15512404922869885,0.00014093920064741104,0,0
665463,152456,213496,169,66709,0.10024434079078658,0.22909729151389105,0.0002539581404854357,0,0
884088,177085,306236,65,230360,0.2605620022418557,0.20030223201510255,7.352200966192318e-05,0,0
911816,194171,350861,69,102763,0.11270134248429235,0.2129495282496378,7.567307913759011e-05,0,0
247512,195288,262887,200,108805,0.43959307187905283,0.7890009817666143,0.0008080383656616017,0,0
899117,4662,39319,298,170919,0.1900962943684811,0.005185081379752157,0.00033143591831105593,0,0
473330,106034,365991,225,129347,0.2732696569630977,0.2240165972649161,0.0004753544559726703,0,0
635312,146805,278132,93,99022,0.15586333035842176,0.23107507637967428,0.0001463845380151201,0,0
974487,34438,104020,93,197812,0.20299069870537143,0.035339583453054324,9.54347308535354e-05,0,0
295752,140986,140842,108,268873,0.9091133479626581,0.47670184241579966,0.00036516958407860616,1,0
189356,194423,468371,156,284661,1.5033032842725644,1.026753698041266,0.0008238406818865952,1,1
673664,47758,156568,195,184167,0.2733806862461312,0.07089280280257992,0.00028946137917214043,0,0
972394,30034,205229,145,297396,0.30583867666946046,0.030886625291162543,0.00014911635703597818,0,0
241003,111781,358056,172,87842,0.36448357703606576,0.4638138786078239,0.0007136811007286186,0,0
650817,192173,185647,45,142862,0.21951144559615746,0.29527917175001306,6.914375447513745e-05,1,0
